Timestamp;Trend Flags;Status;Value
06-Feb-25 9:55:18 AM WEST;{start};{ok};OFF
11-Feb-25 10:37:28 AM WEST;{start};{ok};OFF
12-Feb-25 1:26:00 AM WEST;{ };{down};OFF
12-Feb-25 1:54:26 AM WEST;{ };{ok};OFF
13-Feb-25 2:38:42 PM WEST;{start};{ok};OFF
13-Feb-25 3:42:35 PM WEST;{start};{ok};OFF
14-Feb-25 8:28:33 AM WEST;{start};{ok};OFF
20-Feb-25 7:58:51 AM WEST;{start};{ok};OFF
20-Feb-25 8:00:32 AM WEST;{start};{ok};OFF
21-Feb-25 12:21:48 AM WEST;{ };{ok};ON
21-Feb-25 12:31:33 AM WEST;{ };{ok};OFF
21-Feb-25 10:40:27 AM WEST;{ };{ok};ON
21-Feb-25 10:45:18 AM WEST;{ };{ok};OFF
21-Feb-25 11:13:01 AM WEST;{ };{ok};ON
21-Feb-25 11:23:44 AM WEST;{ };{ok};OFF
25-Feb-25 1:53:20 AM WET;{ };{down};OFF
25-Feb-25 2:30:48 AM WET;{ };{ok};OFF
25-Feb-25 2:36:10 AM WET;{ };{down};OFF
25-Feb-25 2:52:14 AM WET;{ };{ok};OFF
25-Feb-25 2:54:47 AM WET;{ };{down};OFF
25-Feb-25 3:42:43 AM WET;{ };{ok};OFF
25-Feb-25 3:49:26 AM WET;{ };{down};OFF
25-Feb-25 4:05:14 AM WET;{ };{ok};OFF
26-Feb-25 2:16:39 AM WET;{ };{down};OFF
26-Feb-25 2:21:45 AM WET;{ };{ok};OFF
28-Feb-25 1:52:55 AM WET;{ };{down};OFF
28-Feb-25 1:58:01 AM WET;{ };{ok};OFF
02-Mar-25 8:50:45 AM WET;{ };{ok};ON
02-Mar-25 10:33:17 AM WET;{ };{ok};OFF
02-Mar-25 11:10:39 AM WET;{ };{ok};ON
02-Mar-25 11:15:45 AM WET;{ };{ok};OFF
06-Mar-25 1:40:32 PM WET;{ };{ok};ON
06-Mar-25 1:51:28 PM WET;{ };{ok};OFF
19-Mar-25 12:47:38 AM WET;{ };{down};OFF
19-Mar-25 1:03:42 AM WET;{ };{ok};OFF
27-Mar-25 1:42:25 PM WET;{ };{ok};ON
27-Mar-25 1:47:44 PM WET;{ };{ok};OFF
27-Mar-25 2:45:13 PM WET;{ };{ok};ON
27-Mar-25 3:03:38 PM WET;{ };{ok};OFF
27-Mar-25 4:00:20 PM WET;{ };{ok};ON
27-Mar-25 4:00:30 PM WET;{ };{ok};OFF
27-Mar-25 4:00:54 PM WET;{ };{ok};ON
27-Mar-25 4:08:42 PM WET;{ };{ok};OFF
05-Apr-25 6:09:01 PM WET;{ };{ok};ON
05-Apr-25 6:14:20 PM WET;{ };{ok};OFF
09-Apr-25 3:23:38 PM WEST;{start};{ok};OFF
11-Apr-25 1:55:14 AM WEST;{ };{down};OFF
11-Apr-25 2:00:15 AM WEST;{ };{ok};OFF
13-Apr-25 7:05:42 PM WEST;{start};{ok};OFF
17-Apr-25 11:44:56 AM WEST;{ };{down};OFF
17-Apr-25 12:38:14 PM WEST;{ };{ok};OFF
17-Apr-25 12:38:14 PM WEST;{ };{stale};OFF
17-Apr-25 12:38:16 PM WEST;{ };{ok};OFF
23-Apr-25 11:10:54 AM WEST;{start};{ok};OFF
06-May-25 2:31:25 PM WEST;{ };{ok};ON
06-May-25 2:36:48 PM WEST;{ };{ok};OFF
16-May-25 5:06:13 PM WEST;{ };{down};OFF
16-May-25 5:16:17 PM WEST;{ };{ok};OFF
16-May-25 5:18:18 PM WEST;{ };{ok};ON
16-May-25 5:26:05 PM WEST;{ };{ok};OFF
20-May-25 8:01:32 AM WEST;{start};{ok};OFF
12-Jun-25 10:10:52 AM WEST;{start};{ok};OFF
12-Jun-25 11:16:54 AM WEST;{start};{ok};OFF
12-Jun-25 11:26:50 AM WEST;{start};{ok};OFF
12-Jun-25 11:29:23 AM WEST;{start};{ok};OFF
19-Jun-25 12:01:55 PM WEST;{ };{down};OFF
23-Jun-25 10:50:04 AM WEST;{start};{ok};OFF
25-Jun-25 8:31:42 AM WEST;{start};{ok};OFF
