Timestamp,Trend Flags,Status,Value
06-Jan-25 12:27:08 PM WEST,{start},{ok},Fermé
06-Jan-25 3:00:46 PM WEST,{ },{ok},Ouvert
06-Jan-25 3:02:29 PM WEST,{ },{ok},Fermé
06-Jan-25 3:44:13 PM WEST,{ },{ok},Ouvert
06-Jan-25 3:44:31 PM WEST,{ },{ok},Fermé
06-Jan-25 5:36:30 PM WEST,{ },{ok},Ouvert
06-Jan-25 5:36:46 PM WEST,{ },{ok},Fermé
06-Jan-25 7:47:33 PM WEST,{ },{ok},Ouvert
06-Jan-25 7:47:53 PM WEST,{ },{ok},Fermé
06-Jan-25 9:33:28 PM WEST,{ },{ok},Ouvert
06-Jan-25 9:34:40 PM WEST,{ },{ok},Fermé
07-Jan-25 8:06:33 AM WEST,{ },{ok},Ouvert
07-Jan-25 8:06:48 AM WEST,{ },{ok},Fermé
07-Jan-25 9:43:47 AM WEST,{ },{ok},Ouvert
07-Jan-25 11:35:59 AM WEST,{ },{ok},Fermé
07-Jan-25 1:48:49 PM WEST,{ },{ok},Ouvert
07-Jan-25 1:49:49 PM WEST,{ },{ok},Fermé
07-Jan-25 3:45:58 PM WEST,{ },{ok},Ouvert
07-Jan-25 3:46:59 PM WEST,{ },{ok},Fermé
07-Jan-25 5:31:43 PM WEST,{ },{ok},Ouvert
07-Jan-25 5:32:52 PM WEST,{ },{ok},Fermé
07-Jan-25 7:21:46 PM WEST,{ },{ok},Ouvert
07-Jan-25 7:22:05 PM WEST,{ },{ok},Fermé
07-Jan-25 10:12:33 PM WEST,{ },{ok},Ouvert
07-Jan-25 10:13:37 PM WEST,{ },{ok},Fermé
08-Jan-25 8:11:27 AM WEST,{ },{ok},Ouvert
08-Jan-25 8:11:42 AM WEST,{ },{ok},Fermé
08-Jan-25 9:36:24 AM WEST,{ },{ok},Ouvert
08-Jan-25 9:37:22 AM WEST,{ },{ok},Fermé
08-Jan-25 11:37:56 AM WEST,{ },{ok},Ouvert
08-Jan-25 11:38:48 AM WEST,{ },{ok},Fermé
08-Jan-25 2:10:07 PM WEST,{ },{ok},Ouvert
08-Jan-25 2:11:05 PM WEST,{ },{ok},Fermé
08-Jan-25 4:17:29 PM WEST,{ },{ok},Ouvert
08-Jan-25 5:35:28 PM WEST,{ },{ok},Fermé
08-Jan-25 7:29:37 PM WEST,{ },{ok},Ouvert
08-Jan-25 7:30:09 PM WEST,{ },{ok},Fermé
08-Jan-25 9:14:32 PM WEST,{ },{ok},Ouvert
08-Jan-25 9:15:05 PM WEST,{ },{ok},Fermé
08-Jan-25 9:15:07 PM WEST,{ },{ok},Ouvert
08-Jan-25 9:17:53 PM WEST,{ },{ok},Fermé
08-Jan-25 10:09:50 PM WEST,{ },{ok},Ouvert
08-Jan-25 10:10:06 PM WEST,{ },{ok},Fermé
09-Jan-25 8:11:01 AM WEST,{ },{ok},Ouvert
09-Jan-25 8:13:12 AM WEST,{ },{ok},Fermé
09-Jan-25 9:33:18 AM WEST,{ },{ok},Ouvert
09-Jan-25 9:33:34 AM WEST,{ },{ok},Fermé
09-Jan-25 9:42:23 AM WEST,{ },{ok},Ouvert
09-Jan-25 9:42:27 AM WEST,{ },{ok},Fermé
09-Jan-25 9:44:21 AM WEST,{ },{ok},Ouvert
09-Jan-25 9:44:26 AM WEST,{ },{ok},Fermé
09-Jan-25 11:29:34 AM WEST,{ },{ok},Ouvert
09-Jan-25 11:30:40 AM WEST,{ },{ok},Fermé
09-Jan-25 1:58:11 PM WEST,{ },{ok},Ouvert
09-Jan-25 1:59:16 PM WEST,{ },{ok},Fermé
09-Jan-25 5:32:00 PM WEST,{ },{ok},Ouvert
09-Jan-25 5:33:03 PM WEST,{ },{ok},Fermé
09-Jan-25 8:07:22 PM WEST,{ },{ok},Ouvert
09-Jan-25 8:07:40 PM WEST,{ },{ok},Fermé
09-Jan-25 9:38:32 PM WEST,{ },{ok},Ouvert
09-Jan-25 9:39:46 PM WEST,{ },{ok},Fermé
10-Jan-25 7:33:48 AM WEST,{ },{ok},Ouvert
10-Jan-25 10:26:00 AM WEST,{ },{ok},Fermé
10-Jan-25 10:26:01 AM WEST,{ },{ok},Ouvert
10-Jan-25 10:27:09 AM WEST,{ },{ok},Fermé
10-Jan-25 10:27:10 AM WEST,{ },{ok},Ouvert
10-Jan-25 10:27:17 AM WEST,{ },{ok},Fermé
10-Jan-25 10:27:18 AM WEST,{ },{ok},Ouvert
10-Jan-25 10:27:31 AM WEST,{ },{ok},Fermé
10-Jan-25 10:27:32 AM WEST,{ },{ok},Ouvert
10-Jan-25 10:27:33 AM WEST,{ },{ok},Fermé
10-Jan-25 12:23:15 PM WEST,{ },{ok},Ouvert
10-Jan-25 3:29:46 PM WEST,{ },{ok},Fermé
10-Jan-25 3:31:47 PM WEST,{ },{ok},Ouvert
10-Jan-25 5:35:39 PM WEST,{ },{ok},Fermé
10-Jan-25 5:35:42 PM WEST,{ },{ok},Ouvert
10-Jan-25 8:25:02 PM WEST,{ },{ok},Fermé
10-Jan-25 10:07:00 PM WEST,{ },{ok},Ouvert
10-Jan-25 10:09:04 PM WEST,{ },{ok},Fermé
11-Jan-25 8:38:28 AM WEST,{ },{ok},Ouvert
11-Jan-25 8:39:34 AM WEST,{ },{ok},Fermé
11-Jan-25 9:33:14 AM WEST,{ },{ok},Ouvert
11-Jan-25 9:33:33 AM WEST,{ },{ok},Fermé
11-Jan-25 11:45:15 AM WEST,{ },{ok},Ouvert
11-Jan-25 11:45:58 AM WEST,{ },{ok},Fermé
11-Jan-25 2:25:34 PM WEST,{ },{ok},Ouvert
11-Jan-25 2:26:13 PM WEST,{ },{ok},Fermé
11-Jan-25 4:38:00 PM WEST,{ },{ok},Ouvert
11-Jan-25 4:38:19 PM WEST,{ },{ok},Fermé
11-Jan-25 5:31:44 PM WEST,{ },{ok},Ouvert
11-Jan-25 5:32:36 PM WEST,{ },{ok},Fermé
11-Jan-25 8:02:52 PM WEST,{ },{ok},Ouvert
11-Jan-25 9:35:16 PM WEST,{ },{ok},Fermé
12-Jan-25 9:47:08 AM WEST,{ },{ok},Ouvert
12-Jan-25 12:18:49 PM WEST,{ },{ok},Fermé
12-Jan-25 2:50:00 PM WEST,{ },{ok},Ouvert
12-Jan-25 2:50:19 PM WEST,{ },{ok},Fermé
12-Jan-25 3:47:28 PM WEST,{ },{ok},Ouvert
12-Jan-25 3:47:45 PM WEST,{ },{ok},Fermé
12-Jan-25 7:42:37 PM WEST,{ },{ok},Ouvert
12-Jan-25 7:42:53 PM WEST,{ },{ok},Fermé
12-Jan-25 10:48:52 PM WEST,{ },{ok},Ouvert
12-Jan-25 10:49:36 PM WEST,{ },{ok},Fermé
13-Jan-25 11:06:05 AM WEST,{ },{ok},Ouvert
13-Jan-25 11:43:51 AM WEST,{ },{ok},Fermé
13-Jan-25 1:40:13 PM WEST,{ },{ok},Ouvert
13-Jan-25 1:40:33 PM WEST,{ },{ok},Fermé
13-Jan-25 6:33:15 PM WEST,{ },{ok},Ouvert
13-Jan-25 6:33:30 PM WEST,{ },{ok},Fermé
13-Jan-25 7:43:33 PM WEST,{ },{ok},Ouvert
13-Jan-25 7:43:59 PM WEST,{ },{ok},Fermé
13-Jan-25 7:44:01 PM WEST,{ },{ok},Ouvert
13-Jan-25 11:34:45 PM WEST,{ },{ok},Fermé
13-Jan-25 11:34:46 PM WEST,{ },{ok},Ouvert
14-Jan-25 2:14:43 AM WEST,{ },{ok},Fermé
14-Jan-25 6:39:35 AM WEST,{ },{ok},Ouvert
14-Jan-25 6:40:34 AM WEST,{ },{ok},Fermé
14-Jan-25 6:40:35 AM WEST,{ },{ok},Ouvert
14-Jan-25 11:50:42 AM WEST,{ },{ok},Fermé
14-Jan-25 11:52:06 AM WEST,{ },{ok},Ouvert
14-Jan-25 11:52:26 AM WEST,{ },{ok},Fermé
14-Jan-25 1:38:35 PM WEST,{ },{ok},Ouvert
14-Jan-25 1:38:54 PM WEST,{ },{ok},Fermé
14-Jan-25 6:30:25 PM WEST,{ },{ok},Ouvert
14-Jan-25 6:31:02 PM WEST,{ },{ok},Fermé
14-Jan-25 7:35:57 PM WEST,{ },{ok},Ouvert
14-Jan-25 10:21:46 PM WEST,{ },{ok},Fermé
15-Jan-25 11:23:54 AM WEST,{ },{ok},Ouvert
15-Jan-25 5:31:32 PM WEST,{ },{ok},Fermé
15-Jan-25 7:24:36 PM WEST,{ },{ok},Ouvert
15-Jan-25 7:27:06 PM WEST,{ },{ok},Fermé
15-Jan-25 7:33:43 PM WEST,{ },{ok},Ouvert
15-Jan-25 8:29:56 PM WEST,{ },{ok},Fermé
15-Jan-25 10:37:38 PM WEST,{ },{ok},Ouvert
16-Jan-25 12:07:38 PM WEST,{ },{ok},Fermé
16-Jan-25 2:32:29 PM WEST,{ },{ok},Ouvert
16-Jan-25 2:32:52 PM WEST,{ },{ok},Fermé
16-Jan-25 6:16:52 PM WEST,{ },{ok},Ouvert
16-Jan-25 6:17:12 PM WEST,{ },{ok},Fermé
16-Jan-25 7:40:06 PM WEST,{ },{ok},Ouvert
16-Jan-25 10:51:46 PM WEST,{ },{ok},Fermé
17-Jan-25 7:27:28 AM WEST,{ },{ok},Ouvert
17-Jan-25 7:27:52 AM WEST,{ },{ok},Fermé
17-Jan-25 7:27:53 AM WEST,{ },{ok},Ouvert
17-Jan-25 9:47:34 AM WEST,{ },{ok},Fermé
17-Jan-25 11:41:11 AM WEST,{ },{ok},Ouvert
17-Jan-25 11:41:26 AM WEST,{ },{ok},Fermé
17-Jan-25 11:41:27 AM WEST,{ },{ok},Ouvert
17-Jan-25 1:05:49 PM WEST,{start},{ok},Ouvert
17-Jan-25 1:37:17 PM WEST,{ },{ok},Fermé
17-Jan-25 1:37:18 PM WEST,{ },{ok},Ouvert
17-Jan-25 1:37:21 PM WEST,{ },{ok},Fermé
17-Jan-25 1:37:22 PM WEST,{ },{ok},Ouvert
17-Jan-25 3:27:20 PM WEST,{ },{ok},Fermé
17-Jan-25 5:31:46 PM WEST,{ },{ok},Ouvert
17-Jan-25 5:32:15 PM WEST,{ },{ok},Fermé
17-Jan-25 7:31:57 PM WEST,{ },{ok},Ouvert
17-Jan-25 7:32:47 PM WEST,{ },{ok},Fermé
17-Jan-25 11:08:38 PM WEST,{ },{ok},Ouvert
17-Jan-25 11:15:11 PM WEST,{ },{ok},Fermé
18-Jan-25 11:52:43 AM WEST,{ },{ok},Ouvert
18-Jan-25 11:56:21 AM WEST,{ },{ok},Fermé
18-Jan-25 5:18:53 PM WEST,{ },{ok},Ouvert
18-Jan-25 5:20:09 PM WEST,{ },{ok},Fermé
18-Jan-25 7:52:39 PM WEST,{ },{ok},Ouvert
18-Jan-25 7:54:07 PM WEST,{ },{ok},Fermé
18-Jan-25 11:01:31 PM WEST,{ },{ok},Ouvert
18-Jan-25 11:02:14 PM WEST,{ },{ok},Fermé
19-Jan-25 12:36:27 PM WEST,{ },{ok},Ouvert
19-Jan-25 12:39:43 PM WEST,{ },{ok},Fermé
19-Jan-25 3:04:11 PM WEST,{ },{ok},Ouvert
19-Jan-25 3:04:31 PM WEST,{ },{ok},Fermé
19-Jan-25 5:50:42 PM WEST,{ },{ok},Ouvert
19-Jan-25 5:51:13 PM WEST,{ },{ok},Fermé
19-Jan-25 9:30:44 PM WEST,{ },{ok},Ouvert
19-Jan-25 10:22:03 PM WEST,{ },{ok},Fermé
