Timestamp,Trend Flags,Status,Value (°C)
06-Jan-25 12:30:00 PM WEST,{start},{ok},21.8
06-Jan-25 12:45:00 PM WEST,{ },{ok},22.1
06-Jan-25 1:00:00 PM WEST,{ },{ok},21.7
06-Jan-25 1:15:00 PM WEST,{ },{ok},21.8
06-Jan-25 1:30:00 PM WEST,{ },{ok},21.9
06-Jan-25 1:45:00 PM WEST,{ },{ok},21.9
06-Jan-25 2:00:01 PM WEST,{ },{ok},21.7
06-Jan-25 2:15:01 PM WEST,{ },{ok},21.8
06-Jan-25 2:30:01 PM WEST,{ },{ok},21.3
06-Jan-25 2:45:00 PM WEST,{ },{ok},19.9
06-Jan-25 3:00:00 PM WEST,{ },{ok},19.8
06-Jan-25 3:15:01 PM WEST,{ },{ok},19.7
06-Jan-25 3:30:01 PM WEST,{ },{ok},19.5
06-Jan-25 3:45:00 PM WEST,{ },{ok},19.6
06-Jan-25 4:00:01 PM WEST,{ },{ok},19.6
06-Jan-25 4:15:00 PM WEST,{ },{ok},19.5
06-Jan-25 4:30:01 PM WEST,{ },{ok},19.5
06-Jan-25 4:45:00 PM WEST,{ },{ok},18.6
06-Jan-25 5:00:01 PM WEST,{ },{ok},18.5
06-Jan-25 5:15:00 PM WEST,{ },{ok},18.5
06-Jan-25 5:30:01 PM WEST,{ },{ok},18.6
06-Jan-25 5:45:00 PM WEST,{ },{ok},19.3
06-Jan-25 6:00:01 PM WEST,{ },{ok},19.4
06-Jan-25 6:15:00 PM WEST,{ },{ok},19.3
06-Jan-25 6:30:00 PM WEST,{ },{ok},19.4
06-Jan-25 6:45:00 PM WEST,{ },{ok},19.5
06-Jan-25 7:00:00 PM WEST,{ },{ok},19.5
06-Jan-25 7:15:01 PM WEST,{ },{ok},19.2
06-Jan-25 7:30:00 PM WEST,{ },{ok},18.8
06-Jan-25 7:45:00 PM WEST,{ },{ok},18.6
06-Jan-25 8:00:00 PM WEST,{ },{ok},18.3
06-Jan-25 8:15:02 PM WEST,{ },{ok},18.2
06-Jan-25 8:30:01 PM WEST,{ },{ok},20.8
06-Jan-25 8:45:01 PM WEST,{ },{ok},21.8
06-Jan-25 9:00:01 PM WEST,{ },{ok},22.2
06-Jan-25 9:15:01 PM WEST,{ },{ok},22.2
06-Jan-25 9:30:01 PM WEST,{ },{ok},22.1
06-Jan-25 9:45:01 PM WEST,{ },{ok},22.1
06-Jan-25 10:00:00 PM WEST,{ },{ok},22.1
06-Jan-25 10:15:01 PM WEST,{ },{ok},22.4
06-Jan-25 10:30:01 PM WEST,{ },{ok},22.0
06-Jan-25 10:45:01 PM WEST,{ },{ok},21.7
06-Jan-25 11:00:01 PM WEST,{ },{ok},22.3
06-Jan-25 11:15:00 PM WEST,{ },{ok},22.1
06-Jan-25 11:30:00 PM WEST,{ },{ok},22.0
06-Jan-25 11:45:01 PM WEST,{ },{ok},21.9
07-Jan-25 12:00:00 AM WEST,{ },{ok},21.6
07-Jan-25 12:15:00 AM WEST,{ },{ok},21.5
07-Jan-25 12:30:00 AM WEST,{ },{ok},21.7
07-Jan-25 12:45:01 AM WEST,{ },{ok},21.7
07-Jan-25 1:00:02 AM WEST,{ },{ok},21.9
07-Jan-25 1:15:01 AM WEST,{ },{ok},21.7
07-Jan-25 1:30:02 AM WEST,{ },{ok},20.7
07-Jan-25 1:45:02 AM WEST,{ },{ok},18.4
07-Jan-25 2:00:02 AM WEST,{ },{ok},18.4
07-Jan-25 2:15:03 AM WEST,{ },{ok},18.6
