Timestamp,Trend Flags,Status,Value (°C)
06-Jan-25 12:30:00 PM WEST,{start},{ok},19.8
06-Jan-25 12:45:00 PM WEST,{ },{ok},19.9
06-Jan-25 1:00:00 PM WEST,{ },{ok},20.2
06-Jan-25 1:15:00 PM WEST,{ },{ok},20.6
06-Jan-25 1:30:00 PM WEST,{ },{ok},20.9
06-Jan-25 1:45:00 PM WEST,{ },{ok},21.4
06-Jan-25 2:00:01 PM WEST,{ },{ok},21.8
06-Jan-25 2:15:01 PM WEST,{ },{ok},22.1
06-Jan-25 2:30:01 PM WEST,{ },{ok},22.4
06-Jan-25 2:45:00 PM WEST,{ },{ok},22.7
06-Jan-25 3:00:00 PM WEST,{ },{ok},22.8
06-Jan-25 3:15:01 PM WEST,{ },{ok},23.0
06-Jan-25 3:30:01 PM WEST,{ },{ok},22.8
06-Jan-25 3:45:00 PM WEST,{ },{ok},23.4
06-Jan-25 4:00:01 PM WEST,{ },{ok},23.7
06-Jan-25 4:15:00 PM WEST,{ },{ok},23.8
06-Jan-25 4:30:01 PM WEST,{ },{ok},24.0
06-Jan-25 4:45:00 PM WEST,{ },{ok},24.1
06-Jan-25 5:00:01 PM WEST,{ },{ok},24.0
06-Jan-25 5:15:00 PM WEST,{ },{ok},24.2
06-Jan-25 5:30:01 PM WEST,{ },{ok},24.4
06-Jan-25 5:45:00 PM WEST,{ },{ok},25.3
06-Jan-25 6:00:01 PM WEST,{ },{ok},26.8
06-Jan-25 6:15:00 PM WEST,{ },{ok},27.8
06-Jan-25 6:30:00 PM WEST,{ },{ok},27.1
06-Jan-25 6:45:00 PM WEST,{ },{ok},24.8
06-Jan-25 7:00:00 PM WEST,{ },{ok},23.3
06-Jan-25 7:15:01 PM WEST,{ },{ok},22.5
06-Jan-25 7:30:00 PM WEST,{ },{ok},22.0
06-Jan-25 7:45:00 PM WEST,{ },{ok},21.4
06-Jan-25 8:00:00 PM WEST,{ },{ok},21.0
06-Jan-25 8:15:02 PM WEST,{ },{ok},20.6
06-Jan-25 8:30:01 PM WEST,{ },{ok},20.3
06-Jan-25 8:45:01 PM WEST,{ },{ok},19.9
06-Jan-25 9:00:01 PM WEST,{ },{ok},19.8
06-Jan-25 9:15:01 PM WEST,{ },{ok},19.5
06-Jan-25 9:30:01 PM WEST,{ },{ok},19.3
06-Jan-25 9:45:01 PM WEST,{ },{ok},19.2
06-Jan-25 10:00:00 PM WEST,{ },{ok},18.9
06-Jan-25 10:15:01 PM WEST,{ },{ok},18.7
06-Jan-25 10:30:01 PM WEST,{ },{ok},18.6
06-Jan-25 10:45:01 PM WEST,{ },{ok},18.5
