Timestamp,Temp_Ambiante,Temp_Exterieure,Puissance_Generale,Puissance_CLIM,Puissance_IT,CLIM_A_Status,CLIM_B_Status,CLIM_C_Status,CLIM_D_Status,Porte_Status
2024-12-23 15:15:00,,,,,,1.0,0.0,0.0,,
2024-12-23 15:16:43,,,,,,,,,,0.0
2024-12-23 15:30:00,,,,,,1.0,0.0,0.0,,
2024-12-23 15:45:00,,,,,,1.0,0.0,0.0,,
2024-12-23 16:00:00,,,,,,1.0,0.0,0.0,,
2024-12-23 16:15:00,,,14.2,5.0,9.2,1.0,0.0,0.0,,
2024-12-23 16:30:00,21.5,33.2,9.6,0.3,9.299999999999999,,,,,
2024-12-23 16:30:01,21.5,33.2,9.6,0.3,9.299999999999999,1.0,0.0,0.0,,
2024-12-23 16:45:00,21.8,33.6,14.0,4.6,9.4,1.0,0.0,0.0,,
2024-12-23 17:00:00,21.8,33.9,13.0,3.8,9.2,,,,,
2024-12-23 17:00:01,21.8,33.9,13.0,3.8,9.2,1.0,0.0,0.0,,
2024-12-23 17:15:00,21.6,33.5,10.3,1.0,9.3,0.0,1.0,1.0,,
2024-12-23 17:30:00,21.6,33.5,10.3,1.0,9.3,0.0,1.0,1.0,,
2024-12-23 17:30:01,21.6,33.1,9.7,0.3,9.399999999999999,,,,,
2024-12-23 17:45:00,21.8,31.8,10.4,1.0,9.4,,,,,
2024-12-23 17:45:01,21.8,31.8,10.4,1.0,9.4,0.0,1.0,1.0,,
2024-12-23 18:00:01,21.8,30.7,13.3,3.9,9.4,0.0,1.0,1.0,,
2024-12-23 18:15:00,22.3,29.1,9.5,0.3,9.2,0.0,1.0,1.0,,
2024-12-23 18:30:00,22.3,27.3,9.6,0.3,9.299999999999999,0.0,1.0,1.0,,
2024-12-23 18:45:00,22.3,27.3,9.6,0.3,9.299999999999999,0.0,1.0,1.0,,
2024-12-23 18:45:01,22.3,26.0,9.9,0.3,9.6,,,,,
2024-12-23 19:00:01,22.4,25.1,9.7,0.3,9.399999999999999,0.0,1.0,1.0,,
2024-12-23 19:15:00,22.4,23.8,13.6,3.8,9.8,0.0,1.0,1.0,,
2024-12-23 19:30:00,22.5,22.8,13.2,3.7,9.5,,,,,
2024-12-23 19:30:01,22.5,22.8,13.2,3.7,9.5,0.0,1.0,1.0,,
2024-12-23 19:45:00,22.6,22.1,10.0,0.3,9.7,0.0,1.0,1.0,,
2024-12-23 20:00:00,22.6,22.1,10.0,0.3,9.7,0.0,1.0,1.0,,
2024-12-23 20:00:01,22.5,21.3,9.9,0.3,9.6,,,,,
2024-12-23 20:15:00,22.4,20.9,9.5,0.3,9.2,1.0,0.0,0.0,,
2024-12-23 20:30:00,22.4,20.9,9.5,0.3,9.2,1.0,0.0,0.0,,
2024-12-23 20:30:01,22.4,20.3,9.8,0.3,9.5,,,,,
2024-12-23 20:45:00,22.5,19.7,9.8,3.5,6.300000000000001,1.0,0.0,0.0,,
2024-12-23 21:00:00,22.6,19.0,13.1,3.6,9.5,,,,,
2024-12-23 21:00:01,22.6,19.0,13.1,3.6,9.5,1.0,0.0,0.0,,
2024-12-23 21:15:00,22.5,18.5,13.4,3.6,9.8,,,,,
2024-12-23 21:15:01,22.5,18.5,13.4,3.6,9.8,1.0,0.0,0.0,,
2024-12-23 21:30:00,22.0,18.1,13.7,3.6,10.1,,,,,
2024-12-23 21:30:01,22.0,18.1,13.7,3.6,10.1,1.0,0.0,0.0,,
2024-12-23 21:45:00,21.8,17.7,10.0,0.3,9.7,1.0,0.0,0.0,,
2024-12-23 22:00:01,22.1,17.2,10.0,0.3,9.7,1.0,0.0,0.0,,
2024-12-23 22:15:00,22.1,17.2,10.0,0.3,9.7,1.0,0.0,0.0,,
2024-12-23 22:15:01,22.0,16.9,13.4,3.6,9.8,,,,,
2024-12-23 22:30:01,21.8,16.8,9.7,0.3,9.399999999999999,1.0,0.0,0.0,,
2024-12-23 22:45:00,22.1,16.3,13.0,3.7,9.3,1.0,0.0,0.0,,
2024-12-23 23:00:00,22.1,16.3,13.0,3.7,9.3,1.0,0.0,0.0,,
2024-12-23 23:00:01,21.7,16.1,9.6,0.3,9.299999999999999,,,,,
2024-12-23 23:15:00,21.9,15.9,9.5,0.3,9.2,0.0,1.0,1.0,,
2024-12-23 23:30:01,21.8,15.7,10.1,0.3,9.799999999999999,0.0,1.0,1.0,,
2024-12-23 23:45:00,21.8,15.5,9.8,0.3,9.5,0.0,1.0,1.0,,
2024-12-24 00:00:00,22.0,15.1,13.4,3.6,9.8,0.0,1.0,1.0,,
2024-12-24 00:15:00,22.2,15.1,9.5,0.4,9.1,0.0,1.0,1.0,,
2024-12-24 00:30:00,22.2,15.1,9.5,0.4,9.1,0.0,1.0,1.0,,
2024-12-24 00:30:01,22.3,15.0,9.4,0.3,9.1,,,,,
2024-12-24 00:45:00,22.4,14.8,9.4,0.4,9.0,0.0,1.0,1.0,,
2024-12-24 01:00:00,22.5,14.4,9.4,0.4,9.0,,,,,
2024-12-24 01:00:01,22.5,14.4,9.4,0.4,9.0,0.0,1.0,1.0,,
2024-12-24 01:15:00,22.5,14.1,12.5,3.6,8.9,,,,,
2024-12-24 01:15:01,22.5,14.1,12.5,3.6,8.9,0.0,1.0,1.0,,
